Time,Balance Before,Balance After,Realized P&L (value),Realized P&L (currency),Action
2025-12-05 11:05:29,109091.34999999416,109090.49999999415,-0.8500000000058208,USD,"Commission for: Force close long position for symbol NYMEX:CL1! at price 59.62 for 1 units. Position AVG Price was 59.540000, currency: USD, rate: 1.000000, point value: 1000.000000"
2025-12-05 11:05:29,109011.34999999416,109091.34999999416,80,USD,"Force close long position for symbol NYMEX:CL1! at price 59.62 for 1 units. Position AVG Price was 59.540000, currency: USD, rate: 1.000000, point value: 1000.000000"
2025-12-05 11:04:07,109012.19999999416,109011.34999999416,-0.8500000000058208,USD,"Commission for: Force close short position for symbol CME_MINI:MNQ1! at price 25725.25 for 1 units. Position AVG Price was 25726.500000, currency: USD, rate: 1.000000, point value: 2.000000"
2025-12-05 11:04:07,109009.69999999416,109012.19999999416,2.5,USD,"Force close short position for symbol CME_MINI:MNQ1! at price 25725.25 for 1 units. Position AVG Price was 25726.500000, currency: USD, rate: 1.000000, point value: 2.000000"
2025-12-05 11:01:53,109011.39999999416,109009.69999999416,-1.6999999999970896,USD,"Commission for: Force close short position for symbol CME_MINI:MES1! at price 6881.50 for 2 units. Position AVG Price was 6882.000000, currency: USD, rate: 1.000000, point value: 5.000000"
2025-12-05 11:01:53,109006.39999999416,109011.39999999416,5,USD,"Force close short position for symbol CME_MINI:MES1! at price 6881.50 for 2 units. Position AVG Price was 6882.000000, currency: USD, rate: 1.000000, point value: 5.000000"
2025-12-05 11:01:36,109007.24999999416,109006.39999999416,-0.8500000000058208,USD,"Commission for: Force close short position for symbol CBOT_MINI:YM1! at price 47937 for 1 units. Position AVG Price was 47940.000000, currency: USD, rate: 1.000000, point value: 5.000000"
2025-12-05 11:01:36,108992.24999999416,109007.24999999416,15,USD,"Force close short position for symbol CBOT_MINI:YM1! at price 47937 for 1 units. Position AVG Price was 47940.000000, currency: USD, rate: 1.000000, point value: 5.000000"
2025-12-05 10:58:59,108993.09999999417,108992.24999999416,-0.8500000000058208,USD,Commission for: Enter position for symbol CBOT_MINI:YM1! at price 47940 for 1 units
2025-12-05 10:58:19,109001.59999999417,108993.09999999417,-8.5,USD,"Commission for: Close long position for symbol NYMEX:MCL1! at price 59.52 for 10 units. Position AVG Price was 59.536000, currency: USD, rate: 1.000000, point value: 100.000000"
2025-12-05 10:58:19,109017.59999999417,109001.59999999417,-16,USD,"Close long position for symbol NYMEX:MCL1! at price 59.52 for 10 units. Position AVG Price was 59.536000, currency: USD, rate: 1.000000, point value: 100.000000"
2025-12-05 10:57:47,109019.29999999417,109017.59999999417,-1.6999999999970896,USD,"Commission for: Close short position for symbol COMEX_MINI:MGC1! at price 4255.0 for 2 units. Position AVG Price was 4253.900000, currency: USD, rate: 1.000000, point value: 10.000000"
2025-12-05 10:57:47,109041.29999999417,109019.29999999417,-22,USD,"Close short position for symbol COMEX_MINI:MGC1! at price 4255.0 for 2 units. Position AVG Price was 4253.900000, currency: USD, rate: 1.000000, point value: 10.000000"
2025-12-05 10:57:00,109042.99999999418,109042.14999999417,-0.8500000000058208,USD,Commission for: Enter position for symbol COMEX_MINI:MGC1! at price 4253.9 for 1 units
2025-12-05 10:57:00,109042.14999999417,109041.29999999417,-0.8500000000058208,USD,Commission for: Enter position for symbol COMEX_MINI:MGC1! at price 4253.9 for 1 units
2025-12-05 10:56:28,109044.69999999419,109043.84999999419,-0.8500000000058208,USD,Commission for: Enter position for symbol NYMEX:MCL1! at price 59.54 for 1 units
2025-12-05 10:56:28,109043.84999999419,109042.99999999418,-0.8500000000058208,USD,Commission for: Enter position for symbol NYMEX:MCL1! at price 59.54 for 1 units
2025-12-05 10:56:27,109048.09999999421,109047.24999999421,-0.8500000000058208,USD,Commission for: Enter position for symbol NYMEX:MCL1! at price 59.54 for 1 units
2025-12-05 10:56:27,109047.24999999421,109046.3999999942,-0.8500000000058208,USD,Commission for: Enter position for symbol NYMEX:MCL1! at price 59.54 for 1 units
